"Name","DistinguishedName"
"Domain Controllers","OU=Domain Controllers,DC=cabreralab,DC=test"
"Cabrera Technologies","OU=Cabrera Technologies,DC=cabreralab,DC=test"
"Users","OU=Users,OU=Cabrera Technologies,DC=cabreralab,DC=test"
"Computers","OU=Computers,OU=Cabrera Technologies,DC=cabreralab,DC=test"
"Groups","OU=Groups,OU=Cabrera Technologies,DC=cabreralab,DC=test"
"Service Accounts","OU=Service Accounts,OU=Cabrera Technologies,DC=cabreralab,DC=test"
"Disabled Accounts","OU=Disabled Accounts,OU=Cabrera Technologies,DC=cabreralab,DC=test"
"IT","OU=IT,OU=Users,OU=Cabrera Technologies,DC=cabreralab,DC=test"
"Human Resources","OU=Human Resources,OU=Users,OU=Cabrera Technologies,DC=cabreralab,DC=test"
"Finance","OU=Finance,OU=Users,OU=Cabrera Technologies,DC=cabreralab,DC=test"
"Sales","OU=Sales,OU=Users,OU=Cabrera Technologies,DC=cabreralab,DC=test"
"Workstations","OU=Workstations,OU=Computers,OU=Cabrera Technologies,DC=cabreralab,DC=test"
"Servers","OU=Servers,OU=Computers,OU=Cabrera Technologies,DC=cabreralab,DC=test"
